,Apple,IBM,Microsoft,Google,Amazon,Tesla,Nvidia,Walmart,Johnson & Johnson,Verizon,AT&T,Pfizer
2014-03-05,16.6701,113.2123,32.0067,30.3771,18.6055,16.82,0.4415,19.8638,68.2855,27.2418,92.3529,20.0284
2014-03-06,16.6012,113.4362,32.0655,30.4335,18.608,16.86,0.4355,19.8904,68.6839,27.236,92.9767,19.8876
2014-03-07,16.6072,113.4846,31.7798,30.3222,18.615,16.3767,0.4328,19.9035,68.7503,27.0983,92.3205,19.8662
2014-03-10,16.6012,112.7344,31.7798,30.1974,18.4835,15.8193,0.429,19.8901,68.8536,26.949,91.3402,19.8326
2014-03-11,16.7844,112.9825,31.889,29.9257,18.4275,15.5033,0.4295,20.0238,68.979,26.7769,90.9271,19.8264
2014-03-12,16.8188,112.6558,32.1076,30.16,18.53,16.1927,0.4359,20.1868,69.3553,26.5874,90.1656,19.5265
2014-03-13,16.5734,111.4943,31.8554,29.6434,18.7565,15.7667,0.4201,20.0264,68.7208,26.4612,89.2826,19.0735
2014-03-14,16.4303,110.1633,31.6537,29.2616,18.675,15.3333,0.4197,19.8821,68.4331,26.4956,88.1079,19.1286
2014-03-17,16.4807,112.2384,31.9815,29.6983,18.715,15.7067,0.4221,19.9436,69.1709,26.6276,89.6552,19.1837
2014-03-18,16.6372,112.5221,33.1414,30.1725,18.943,16.0467,0.4321,20.005,69.2447,26.8056,88.9747,19.5877
2014-03-19,16.656,111.464,33.0069,29.9291,18.65,15.72,0.4395,19.8741,68.861,26.5983,88.7236,19.4653
2014-03-20,16.5339,113.5511,33.9147,29.8805,18.4275,15.6133,0.4399,20.1921,69.3553,27.0983,87.1763,19.5326
2014-03-21,16.671,112.928,33.8222,29.4812,17.9525,15.18,0.4392,20.422,70.1743,26.9146,86.9818,19.6061
2014-03-24,16.8717,113.7326,34.0408,28.8875,17.5705,14.7233,0.437,20.5262,70.3514,26.949,87.4436,19.3551
2014-03-25,17.0959,117.9673,33.9735,28.9823,17.775,14.7193,0.437,20.6064,72.0034,27.1098,87.8973,19.5204
2014-03-26,16.8686,116.4549,33.4104,28.2553,17.1735,14.1793,0.4254,20.5449,71.6278,26.995,91.2662,19.6795
2014-03-27,16.852,114.8397,33.2423,27.8271,16.9985,13.7153,0.4197,20.3391,71.8639,27.3336,92.3215,19.6428
2014-03-28,16.8373,115.3962,33.8895,28.0137,16.901,14.294,0.4261,20.3151,71.982,27.1786,93.014,19.5204
2014-03-31,16.7531,116.4549,34.4442,27.8043,16.7745,13.8533,0.4243,20.4273,72.4763,27.2647,93.08,19.6673
